[2026-05-11 16:06:29.505] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 16:26:36.084] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 16:26:44.923] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 16:36:27.811] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 16:38:50.050] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 16:38:57.843] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 16:50:13.306] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 16:50:24.358] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:713 (URL) | Value: http://e8.i.lencr.org/ | Risk: low (Score: 0) | Decision: ALLOW
[2026-05-11 17:10:09.357] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:12:19.068] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:12:36.857] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:642 (URL) | Value: http://download.windowsupdate.com/d/msdownload/update/others/2026/05/45199022_4ad02751f7e431a8b88854aace09eaee322b1011.cab | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:14:00.676] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:34:58.516] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:35:31.790] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:722 (URL) | Value: http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?81475f4252d763e3 | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:35:32.545] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:722 (URL) | Value: http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?81475f4252d763e3 | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:35:43.930] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-05-11 17:35:55.735] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:713 (URL) | Value: http://e8.i.lencr.org/ | Risk: low (Score: 0) | Decision: ALLOW
[2026-05-11 17:36:04.310] 🔔 ALERT | Node: 4:77a1d2ec-5681-42c3-a4bb-75613ed5faf7:379 (IPAddress) | Value: 192.168.48.86 | Risk: medium (Score: 40) | Decision: MONITOR
